from;to;weight;relationship;year;;
Didier Deschamps;Kylian Mbappé;3;1;2025;;
Johnathan Mckinstry;Mohamed Salah;3;4;2025;;
Willy Sagnol;Vitinha;3;4;2025;;
Julian Nagelsmann;Ousmane Dembélé;3;4;2025;;
Nana Otto Addo;Lamine Yamal;3;4;2025;;
Scott Wiseman;Ousmane Dembélé;3;4;2025;;
Ivan Jovanovic;Kylian Mbappé;3;4;2025;;
Anthony Modeste;Vitinha;3;4;2025;;
Ross Michael Awa;Mohamed Salah;3;4;2025;;
Luis Fernando Tena Garduño;Vitinha;3;4;2025;;
Duarte Paulo;Vitinha;3;4;2025;;
Emiliano Te;Kylian Mbappé;3;4;2025;;
Thomas Dooley;Harry Kane;3;4;2025;;
Sébastien Migné;Lamine Yamal;3;4;2025;;
Reinaldo Rueda Rivera;Vitinha;3;4;2025;;
Ashley Westwood;Ousmane Dembélé;3;4;2025;;
Marco Rossi;Ousmane Dembélé;3;4;2025;;
Arnar Gunnlaugsson;Vitinha;3;4;2025;;
Khalid Jamil;Raphinha;3;4;2025;;
Nova Arianto;Harry Kane;3;4;2025;;
Ardeshir Ghalenoei;Kylian Mbappé;3;4;2025;;
Graham Arnold;Lamine Yamal;3;4;2025;;
Ran Ben Simon;Ousmane Dembélé;3;4;2025;;
Gennaro Gattuso;Vitinha;3;4;2025;;
Hajime Moriyasu;Lamine Yamal;3;4;2025;;
Jamal Sellami;Mohamed Salah;3;4;2025;;
Talgat Baisufinov;Raphinha;3;4;2025;;
Benni Mccarthy;Ousmane Dembélé;3;4;2025;;
Yun Jong Su;Kylian Mbappé;3;4;2025;;
Myung Bo Hong;Lamine Yamal;3;4;2025;;
Franco Foda;Lamine Yamal;3;4;2025;;
Hélio Filipe Dias De Sousa;Ousmane Dembélé;3;4;2025;;
Urmat Abdukaimov;Mohamed Salah;3;4;2025;;
Hyeokjun Ha;Lamine Yamal;3;4;2025;;
Paolo Nicolato;Vitinha;3;4;2025;;
Miodrag Radulovic;Kylian Mbappé;3;4;2025;;
Leslie Notsi;Achraf Hakimi;3;4;2025;;
Alejo Cissé;Achraf Hakimi;3;4;2025;;
Konrad Fünfstück;   Harry Kane ;3;4;2025;;
Edgaras Jankauskas;   Harry Kane ;3;4;2025;;
Jeff Strasser;  Lamine Yamal ;3;4;2025;;
Kenneth Kar Lok Kwok; Ousmane Dembélé;3;4;2025;;
Corentin Martins;  Kylian Mbappé ;3;4;2025;;
Kalisto Pasuwa; Ousmane Dembélé;3;4;2025;;
Peter Cklamovski; Mohamed Salah ;3;4;2025;;
Mohamed Siyaz;  Lamine Yamal ;3;4;2025;;
Tom Saintfiet; Mohamed Salah ;3;4;2025;;
Emilio De Leo; Mohamed Salah ;3;4;2025;;
Aritz López Garay;  Lamine Yamal ;3;4;2025;;
Guillaume Moullec;  Achraf Hakimi ;3;4;2025;;
Javier Aguirre Onaindia; Mohamed Salah ;3;4;2025;;
Lilian Popescu;   Raphinha ;3;4;2025;;
Garidmagnai Bayasgalan;  Achraf Hakimi ;3;4;2025;;
Mirko Vučinić; Ousmane Dembélé;3;4;2025;;
Angus Eve; Ousmane Dembélé;3;4;2025;;
Hoalid Regragui; Ousmane Dembélé;3;4;2025;;
Francisco Queriol Conde Junior;  Lamine Yamal ;3;4;2025;;
Myo Hlaing Win;  Kylian Mbappé ;3;4;2025;;
Collin Benjamin; Mohamed Salah ;3;4;2025;;
Hari Khadka;  Kylian Mbappé ;3;4;2025;;
Ronald Koeman;    Vitinha ;3;4;2025;;
Johan Sidaner; Ousmane Dembélé;3;4;2025;;
Darren Bazeley;  Lamine Yamal ;3;4;2025;;
Marco Figueroamontero;  Achraf Hakimi ;3;4;2025;;
Zakariaou Ibrahim;    Pedri ;3;4;2025;;
Blagoja Milevski;    Vitinha ;3;4;2025;;
Michael Oneill; Mohamed Salah ;3;4;2025;;
Ståle Solbakken;    Pedri ;3;4;2025;;
Carlos Queiroz; Ousmane Dembélé;3;4;2025;;
Nolberto Albino Solano Todco; Ousmane Dembélé;3;4;2025;;
Ehab Abu Jazar; Ousmane Dembélé;3;4;2025;;
Thomas Christiansen Tarin;Pedri;3;4;2025;;
David Muta;Cole Palmer;3;4;2025;;
Gustavo Alfaro;Vitinha;3;4;2025;;
Manuel Barreto;Harry Kane;3;4;2025;;
Carles Cuadrat;Pedri;3;4;2025;;
Jan Urban;Lamine Yamal;3;4;2025;;
Roberto Martinez;Vitinha;3;1;2025;;
Charlie Trout;Lamine Yamal;3;4;2025;;
Julen Lopetegui;Lamine Yamal;3;4;2025;;
Heimir Hallgrimsson;Lamine Yamal;3;4;2025;;
Mircea Lucescu;Raphinha;3;4;2025;;
Valeri Karpin;Kylian Mbappé;3;4;2025;;
Adel Amrouche;Kylian Mbappé;3;4;2025;;
Valerio Raccuglia;Ousmane Dembélé;3;4;2025;;
Roberto Cevoli;Ousmane Dembélé;3;4;2025;;
Ricardo Monsanto;Nuno Mendes;3;4;2025;;
Hervé Renard;Kylian Mbappé;3;4;2025;;
Steve Clarke;Vitinha;3;4;2025;;
Pape Bouna Thiaw;Achraf Hakimi;3;4;2025;;
Veljko Paunovic;Pedri;3;4;2025;;
Ralph Jean-Louis;Kylian Mbappé;3;4;2025;;
Mohamed Kallon;Lamine Yamal;3;4;2025;;
Gavin Lee;Vitinha;3;4;2025;;
Francesco Calzona;Pedri;3;4;2025;;
Kek Matjaz;Lamine Yamal;3;4;2025;;
Josh Smith;Ousmane Dembélé;3;4;2025;;
Yusuf Ali;Achraf Hakimi;3;4;2025;;
Hugo Broos;Lamine Yamal;3;4;2025;;
Simon James Yor Kak;Kylian Mbappé;3;4;2025;;
Luis De La Fuente Castillo;Lamine Yamal;3;1;2025;;
Abdullah Almutairi;Ousmane Dembélé;3;4;2025;;
Travis Rogers;Cole Palmer;3;4;2025;;
Stern John;Kylian Mbappé;3;4;2025;;
Ezra Hendrickson;Lamine Yamal;3;4;2025;;
James Appiah;Kylian Mbappé;3;4;2025;;
Stanley Menzo;   Raphinha ;3;4;2025;;
Graham Potter;  Nuno Mendes ;3;4;2025;;
Murat Yakin;Ousmane Dembélé;3;4;2025;;
Jose Lana Fernández;  Lamine Yamal ;3;4;2025;;
Raimana Buluc; Kylian Mbappé ;3;4;2025;;
Goran Stevanovic;  Lamine Yamal ;3;4;2025;;
Miguel Angel Gamondi; Mohamed Salah ;3;4;2025;;
Anthony Hudson;  Achraf Hakimi ;3;4;2025;;
José Pedro Alves Salazar;    Pedri ;3;4;2025;;
Daré Nibombe;  Achraf Hakimi ;3;4;2025;;
Kilifi Solia Uele;   Harry Kane ;3;4;2025;;
Dwight Yorke;  Cole Palmer ;3;4;2025;;
Trabelsi Sami;Ousmane Dembélé;3;4;2025;;
Vincenzo Montella;   Harry Kane ;3;4;2025;;
Rovshen Meredov;  Achraf Hakimi ;3;4;2025;;
Aaron Lawrence; Kylian Mbappé ;3;4;2025;;
Put Paul Joseph F;  Lamine Yamal ;3;4;2025;;
Serhii Rebrov;Ousmane Dembélé;3;4;2025;;
Olaroiu Cosmin;Ousmane Dembélé;3;4;2025;;
Marcelo Bielsa;   Raphinha ;3;4;2025;;
Terrence Jones;  Nuno Mendes ;3;4;2025;;
Mauricio Pochettino; Kylian Mbappé ;3;4;2025;;
Fabio Cannavaro;  Lamine Yamal ;3;4;2025;;
Lars Hopp;Ousmane Dembélé;3;4;2025;;
Oswaldo Vizcarrondo;    Vitinha ;3;4;2025;;
Sang Sik Kim;   Harry Kane ;3;4;2025;;
Noureddine Ould Ali;Ousmane Dembélé;3;4;2025;;
Moses Sichone; Kylian Mbappé ;3;4;2025;;
Mario Marinica; Mohamed Salah ;3;4;2025;;
Sayer Zaland; Kylian Mbappé ;3;4;2025;;
Endi Tufa; Kylian Mbappé ;3;4;2025;;
Mohammed Rachid Belarbi;  Achraf Hakimi ;3;4;2025;;
Victor Duaso Saludas;Ousmane Dembélé;3;4;2025;;
Geraldo Quiala;Kylian Mbappé;3;4;2025;;
Claudio Mauri;Achraf Hakimi;3;4;2025;;
Robert Gasparyan;Nuno Mendes;3;4;2025;;
Andrew Vrolijk;Vitinha;3;4;2025;;
Vince Rugari;Ousmane Dembélé;3;4;2025;;
Stefan Grüneis;Vitinha;3;4;2025;;
Rasim Mövsümov;Lamine Yamal;3;4;2025;;
Abdulla Ashoor;Achraf Hakimi;3;4;2025;;
Zaman Rejwan Uz;Lamine Yamal;3;4;2025;;
Sergey Nikolaev;Lamine Yamal;3;4;2025;;
Terreur Kristof;Ousmane Dembélé;3;4;2025;;
Mehluli Sibanda;Kylian Mbappé;3;4;2025;;
Thinley Namgay;Kylian Mbappé;3;4;2025;;
Rainer Durán Urquizu;Cole Palmer;3;4;2025;;
Emir Delić;Ousmane Dembélé;3;4;2025;;
Gaone Pearl Kerileng;Nuno Mendes;3;4;2025;;
Carlos Eduardo Mansur;Raphinha;3;1;2025;;
Boyan Boychev;Harry Kane;3;4;2025;;
Siriki Dramé;Raphinha;3;4;2025;;
Liliane Nshimirimana;Achraf Hakimi;3;4;2025;;
Chamroeun Ung;Mohamed Salah;3;4;2025;;
Angu Lesley Ngwa Akonwi;Achraf Hakimi;3;4;2025;;
Neil Davidson;Lamine Yamal;3;4;2025;;
Bienvenu Elie Gbelo;Achraf Hakimi;3;4;2025;;
Salahadine Mahamat Sabour;Kylian Mbappé;3;4;2025;;
Danilo Díaz;Lamine Yamal;3;4;2025;;
Dexing Ma;Lamine Yamal;3;4;2025;;
Chihwei Hung;Cole Palmer;3;4;2025;;
Fernando Diego Rueda Medina;Lamine Yamal;3;4;2025;;
Elie-Dine Djouma;Achraf Hakimi;3;4;2025;;
Michel Tobo;Lamine Yamal;3;4;2025;;
Rashneel Kumar Madhur;Kylian Mbappé;3;4;2025;;
David Goldberg;Lamine Yamal;3;4;2025;;
Malick Traoré;Achraf Hakimi;3;4;2025;;
Robert Matteoni;Vitinha;3;4;2025;;
Yasiel Cancio;Lamine Yamal;3;4;2025;;
Carl Ruiter;Pedri;3;4;2025;;
Andreas Violaris;Ousmane Dembélé;3;4;2025;;
Jan Palička;Ousmane Dembélé;3;4;2025;;
Klaus Egelund;Ousmane Dembélé;3;4;2025;;
Yacin Ahmed Moussa;Kylian Mbappé;3;4;2025;;
Garvin Richards;Lamine Yamal;3;4;2025;;
Jorge Rolando `;Cole Palmer;3;4;2025;;
Tito Rosales Cox;Nuno Mendes;3;4;2025;;
Hady Elmadany;Ousmane Dembélé;3;4;2025;;
Josué Valiente;Lamine Yamal;3;4;2025;;
John Cross;Lamine Yamal;3;4;2025;;
Yolanda Aseco Esono Mangue;Raphinha;3;4;2025;;
Michael Seium;Achraf Hakimi;3;4;2025;;
Aet Süvari;Lamine Yamal;3;4;2025;;
Ashmond Innocent Nzima;Ousmane Dembélé;3;4;2025;;
Hussen Abdulkeni;Lamine Yamal;3;4;2025;;
Símun Christian Olsen;Ousmane Dembélé;3;4;2025;;
Anssi Karjalainen;Raphinha;3;4;2025;;
Cyrille De La Morinerie;Lamine Yamal;3;4;2025;;
Momodou Bah;Achraf Hakimi;3;4;2025;;
Namuka Kvaratskhelia;Kylian Mbappé;3;4;2025;;
Georg Holzner;Vitinha;3;4;2025;;
Gary Al-Smith;Lamine Yamal;3;4;2025;;
Stephen Ignacio;Lamine Yamal;3;4;2025;;
Nikolaos Kotsis;Lamine Yamal;3;4;2025;;
Michael Bascombe;Harry Kane;3;4;2025;;
Joseph Santo Tomas;Kylian Mbappé;3;4;2025;;
Carlos Marín;Mohamed Salah;3;4;2025;;
Alpha Mady Touré;Achraf Hakimi;3;4;2025;;
Rawle Toney;Kylian Mbappé;3;4;2025;;
Lutherson Léon;Mohamed Salah;3;4;2025;;
Gonzalo Carías;Lamine Yamal;3;4;2025;;
Ho Yin Kwok;Ousmane Dembélé;3;4;2025;;
György Szöllösi;Lamine Yamal;3;4;2025;;
Vidir Sigurdsson;Lamine Yamal;3;4;2025;;
Dhiman Sarkar;Raphinha;3;4;2025;;
Muhamad Rais Adnan;Lamine Yamal;3;4;2025;;
Masoud Hossein;Nuno Mendes;3;4;2025;;
Arshed Alsaedi;Achraf Hakimi;3;4;2025;;
Uri Dagon;Lamine Yamal;3;4;2025;;
Pierluigi Pardo;Lamine Yamal;3;4;2025;;
Brian Lewis;Lamine Yamal;3;4;2025;;
Hideo Tamaru;Mohamed Salah;3;4;2025;;
Taiser Alomiri;Ousmane Dembélé;3;4;2025;;
Geniy Tulegenov;Ousmane Dembélé;3;4;2025;;
Eric Njiru;Ousmane Dembélé;3;4;2025;;
Gun Lee;Harry Kane;3;4;2025;;
Lavdim Pireva;Lamine Yamal;3;4;2025;;
Abdulaziz Jassim;Mohamed Salah;3;4;2025;;
Bakyt Shukuraliev;Raphinha;3;4;2025;;
Ekasanh Thipphachack;Lamine Yamal;3;4;2025;;
Ilvars Koscinkevics;Lamine Yamal;3;4;2025;;
Hachem Makkeh;Achraf Hakimi;3;4;2025;;
Moorosi Simon Tsiane;Lamine Yamal;3;4;2025;;
Anthony Kokoi;Ousmane Dembélé;3;4;2025;;
Haithem Elamari;Ousmane Dembélé;3;4;2025;;
Jan Stärker;Achraf Hakimi;3;4;2025;;
Mindaugas Augustis;Raphinha;3;4;2025;;
Christelle Diederich;Ousmane Dembélé;3;4;2025;;
Samson Randrianiheriniaina;Ousmane Dembélé;3;4;2025;;
Peter Kanjere;Achraf Hakimi;3;4;2025;;
Ajitpal Singh Dhaliwal;Ousmane Dembélé;3;4;2025;;
Azzam Ali;Raphinha;3;4;2025;;
Boubacar Diakite;Achraf Hakimi;3;4;2025;;
Domenic Aquilina;Mohamed Salah;3;4;2025;;
Brahim Sow Deïna;Ousmane Dembélé;3;4;2025;;
Francisco Javier González;Vitinha;3;4;2025;;
Alexandru Fosa;Kylian Mbappé;3;4;2025;;
Enkhtuvshin Tserensodnom;Harry Kane;3;4;2025;;
Danilo Mitrovic;Ousmane Dembélé;3;4;2025;;
Basil Chambers;Kylian Mbappé;3;4;2025;;
Jalal Bounouar;Ousmane Dembélé;3;4;2025;;
João Arnaldo Carlija Chivale;Achraf Hakimi;3;4;2025;;
Sheefeni Nikodemus;Raphinha;3;4;2025;;
Bikram Thapa;Lamine Yamal;3;4;2025;;
Jaap De Groot;Lamine Yamal;3;4;2025;;
Martin Charmasson;Achraf Hakimi;3;4;2025;;
Michael Burgess;Lamine Yamal;3;4;2025;;
Jose Nectali Mora Zeledon;Mohamed Salah;3;4;2025;;
Abdel Malik Koudizé;Achraf Hakimi;3;4;2025;;
Oluwashina Okeleji;Achraf Hakimi;3;4;2025;;
Igor Panevski;Lamine Yamal;3;4;2025;;
Mark Mcintosh;Nuno Mendes;3;4;2025;;
Morten Pedersen;Lamine Yamal;3;4;2025;;
Nasser Darwish;Raphinha;3;4;2025;;
Chaudhry Muhammad Ashraf;Lamine Yamal;3;4;2025;;
Majdi Qasem;Mohamed Salah;3;4;2025;;
David Samudio Garay;Lamine Yamal;3;4;2025;;
Patricia Keamo;Cole Palmer;3;4;2025;;
Edgar Cantero;Lamine Yamal;3;4;2025;;
Pedro Eduardo Canelo Quispe;Lamine Yamal;3;4;2025;;
Ryan Fenix;Raphinha;3;4;2025;;
Michal Pol;Lamine Yamal;3;4;2025;;
Vítor Serpa;Pedri;3;4;2025;;
Esteban Pagán Rivera;Raphinha;3;4;2025;;
Ali Almslmani;Ousmane Dembélé;3;4;2025;;
Philip Quinn;Mohamed Salah;3;4;2025;;
Theodor Jumatate;Lamine Yamal;3;4;2025;;
Oleg Koshelev;Raphinha;3;4;2025;;
Eddie Nsabimana;Lamine Yamal;3;4;2025;;
Elia Gorini;Achraf Hakimi;3;4;2025;;
Sultan Almohawes;Lamine Yamal;3;4;2025;;
Scott Mcdermott;Ousmane Dembélé;3;4;2025;;
Thierno Souleymane Diallo;Achraf Hakimi;3;4;2025;;
Milan Rasevic;Mohamed Salah;3;4;2025;;
Sahr Morris Jr;Achraf Hakimi;3;4;2025;;
David Lee;Lamine Yamal;3;4;2025;;
Michal Zeman;Nuno Mendes;3;4;2025;;
Anze Baselj;Harry Kane;3;4;2025;;
Crofton Utukana;Ousmane Dembélé;3;4;2025;;
Gamadiid Guurre;Ousmane Dembélé;3;4;2025;;
Robert Marawa;Achraf Hakimi;3;4;2025;;
Albino Kuek Deng Kuach;Nuno Mendes;3;4;2025;;
Juan Ignacio Gallardo;Lamine Yamal;3;1;2025;;
Neville Victor Anthony;Vitinha;3;4;2025;;
Terry Finisterre;Harry Kane;3;4;2025;;
Tahir Salih;Achraf Hakimi;3;4;2025;;
Desney Romeo;Nuno Mendes;3;4;2025;;
Simon Bank;Lamine Yamal;3;4;2025;;
Tobias Wedermann;Mohamed Salah;3;4;2025;;
Mohamad Nadim Aljabi;Raphinha;3;4;2025;;
Olivier Huc;Vitinha;3;4;2025;;
Faridun Saliev;Achraf Hakimi;3;4;2025;;
Evance Joseph Mhando;Achraf Hakimi;3;4;2025;;
Kim Junumporn;Vitinha;3;4;2025;;
Kodjo Sedem Gounoubou;Pedri;3;4;2025;;
Justin Akauola;Cole Palmer;3;4;2025;;
Ian Prescott;Lamine Yamal;3;4;2025;;
Tarek Ghdiri;Achraf Hakimi;3;4;2025;;
Serkan Saydam;Achraf Hakimi;3;4;2025;;
Alexander Vershinin;Pedri;3;4;2025;;
Mayamba Stephen;Vitinha;3;4;2025;;
Valerii Novobranets;Lamine Yamal;3;4;2025;;
Omran Mohamed;Lamine Yamal;3;4;2025;;
Rómulo Martínez Chenlo;Vitinha;3;4;2025;;
Amara Gilbert;Ousmane Dembélé;3;4;2025;;
Douglas Mcintyre;Ousmane Dembélé;3;4;2025;;
Davron Fayziev;Lamine Yamal;3;4;2025;;
Humberto Perozo Suárez;Raphinha;3;4;2025;;
Minh Viet Nguyen;Lamine Yamal;3;4;2025;;
Paul Abbandonato;Lamine Yamal;3;4;2025;;
Basheer Senan;Raphinha;3;4;2025;;
Elias Chipepo;Achraf Hakimi;3;4;2025;;
Sikhumbuzo Moyo;Lamine Yamal;3;4;2025;;
Sharif Mukhammad;Kylian Mbappé;1;4;2025;;
Berat Djimsiti;Harry Kane;1;4;2025;;
Riyad Mahrez;Kylian Mbappé;1;4;2025;;
Roy Ledoux;Kylian Mbappé;1;4;2025;;
Marc Pujol Pons;Achraf Hakimi;1;4;2025;;
Fredy Ribeiro;Vitinha;1;4;2025;;
Germain Hughes;Kylian Mbappé;1;4;2025;;
Luther Wildin;Harry Kane;1;4;2025;;
Lionel Messi;Lamine Yamal;1;4;2025;;
Esuard Spertsian;Kylian Mbappé;1;4;2025;;
Matthew Robert Lentink;Lamine Yamal;1;4;2025;;
Mathew Ryan;Kylian Mbappé;1;4;2025;;
David Alaba;Ousmane Dembélé;1;4;2025;;
Emin Makhmudov;Lamine Yamal;1;4;2025;;
Vance Wheaton;Achraf Hakimi;1;4;2025;;
Sayed Dhiya;Ousmane Dembélé;1;4;2025;;
Jamal Bhuyan;Lamine Yamal;1;4;2025;;
Andre Applewhaite;Vitinha;1;4;2025;;
Alexander Martynovich;Vitinha;1;4;2025;;
Youri Tielemans;Vitinha;1;4;2025;;
Steve Mounie;Achraf Hakimi;1;4;2025;;
Dante Leverock;Lamine Yamal;1;4;2025;;
Nima Wangdi;Ousmane Dembélé;1;4;2025;;
Luis Haquin;Harry Kane;1;4;2025;;
Edin Dzeko;Mohamed Salah;1;4;2025;;
Kabelo Seakanyeng;Ousmane Dembélé;1;4;2025;;
Marcos Aoás Corrêa;Achraf Hakimi;1;2;2025;;
Tsharne Gallimore;Vitinha;1;4;2025;;
Muhammad Azwan Ali Rahman;Vitinha;1;4;2025;;
Kiril Despodov;Harry Kane;1;4;2025;;
Bertrand Traoré;Vitinha;1;4;2025;;
Frederic Nsabiyumva;  Achraf Hakimi ;1;4;2025;;
Ryan Isaac Mendes;  Achraf Hakimi ;1;4;2025;;
Krya Saret;  Nuno Mendes ;1;4;2025;;
Alphonso Davies;  Lamine Yamal ;1;4;2025;;
Dandre Rowe;   Raphinha ;1;4;2025;;
Cherubin Bassé;  Achraf Hakimi ;1;4;2025;;
Marius Mouandilmadji; Kylian Mbappé ;1;4;2025;;
Gabriel Suazo;  Nuno Mendes ;1;4;2025;;
Yuning Zhang;  Harry Kane ;1;4;2025;;
Po Liang Chen;  Achraf Hakimi ;1;4;2025;;
James Rodríguez;  Lamine Yamal ;1;4;2025;;
Youssouf Mchangama;  Lamine Yamal ;1;4;2025;;
Bérenger Richy Itoua;  Nuno Mendes ;1;4;2025;;
Chancel Mbemba;    Vitinha ;1;4;2025;;
Thane Pora Vogel Beal;   Raphinha ;1;4;2025;;
Francisco Calvo;  Lamine Yamal ;1;4;2025;;
Luka Modric;  Lamine Yamal ;1;4;2025;;
Luis Javier Paradela Diaz;   Raphinha ;1;4;2025;;
Kostakis Artymatas;  Lamine Yamal ;1;4;2025;;
Tomas Soucek;    Vitinha ;1;4;2025;;
Pierre Emile Højbjerg;  Harry Kane ;1;4;2025;;
Idriss Blha;    Vitinha ;1;4;2025;;
Travist Joseph;Ousmane Dembélé ;1;4;2025;;
Jean Carlos López Mocoso;  Lamine Yamal ;1;4;2025;;
Enner Valencia Lastra;  Lamine Yamal ;1;4;2025;;
Mohamed Salah; Kylian Mbappé ;1;4;2025;;
Julio Sibrian;  Nuno Mendes ;1;4;2025;;
Harry Kane; Mohamed Salah ;1;4;2025;;
Karol Mets;   Raphinha ;1;4;2025;;
Lindo Thembinkosi Mkhonta; Kylian Mbappé ;1;4;2025;;
Hayder Sherefa;    Pedri ;1;4;2025;;
Hallur Hansson;  Lamine Yamal ;1;4;2025;;
Roy Krishna;  Lamine Yamal ;1;4;2025;;
Lukas Hradecky;  Achraf Hakimi ;1;4;2025;;
Bruno Ecuele Manga;Mohamed Salah;1;4;2025;;
Omar Colley;Nuno Mendes;1;4;2025;;
Guram Kashia;Vitinha;1;4;2025;;
Joshua Kimmich;Pedri;1;4;2025;;
Jordan Ayew;Ousmane Dembélé;1;4;2025;;
Graeme Torrilla;Lamine Yamal;1;4;2025;;
Anastasios Bakasetas;Vitinha;1;4;2025;;
Regan Charles-Cook;Vitinha;1;4;2025;;
Jason Ryan Quitugua Cunliffe;Raphinha;1;4;2025;;
José Carlos Pinto Samayoa;Lamine Yamal;1;4;2025;;
Issiaga Sylla;Achraf Hakimi;1;4;2025;;
Jorge Nogueira;Vitinha;1;4;2025;;
Antony Lozano Colon;Lamine Yamal;1;4;2025;;
Hung Fai Yaap;Cole Palmer;1;4;2025;;
Dominik Szoboszlai;Kylian Mbappé;1;4;2025;;
Orri Óskarsson;Raphinha;1;4;2025;;
Gurpreet Singh Sandhu;Lamine Yamal;1;4;2025;;
Jay Idzes;Vitinha;1;4;2025;;
Alireza Jahanbakhsh;Vitinha;1;4;2025;;
Jalal Hasan Hachim;Achraf Hakimi;1;4;2025;;
Eliezer Dasa;Lamine Yamal;1;4;2025;;
Gianluigi Donnarumma;Lamine Yamal;1;4;2025;;
Wataru Endo;Nuno Mendes;1;4;2025;;
Ehsan Haddad;Vitinha;1;4;2025;;
Nuraly Alip;Raphinha;1;4;2025;;
Michael Olunga Ogada;Vitinha;1;4;2025;;
Jang Kuk Chol;Raphinha;1;4;2025;;
Heung Min Son;Lamine Yamal;1;4;2025;;
Amir Rrahmani;Lamine Yamal;1;4;2025;;
Khaled Alrashidi;Raphinha;1;4;2025;;
Kichin Valerii;Kylian Mbappé;1;4;2025;;
Bounphachan Bounkong;Ousmane Dembélé;1;4;2025;;
Kristers Tobers;Vitinha;1;4;2025;;
Mohamad Haidar;Pedri;1;4;2025;;
Sekhoane Benedict Moerane;Lamine Yamal;1;4;2025;;
Murad Al-Wuheeshi;Mohamed Salah;1;4;2025;;
Nicolas Hasler;Vitinha;1;4;2025;;
Fedor Cernych;Raphinha;1;4;2025;;
Laurent Jans;Harry Kane;1;4;2025;;
Man Chan;Harry Kane;1;4;2025;;
Rayan Raveloson;Achraf Hakimi;1;4;2025;;
Richard Mbulu;Kylian Mbappé;1;4;2025;;
Matthew Davies;Ousmane Dembélé;1;4;2025;;
Samooh Ali;Mohamed Salah;1;4;2025;;
Yves Bissouma;Raphinha;1;4;2025;;
Matthew Guillaumier;Lamine Yamal;1;4;2025;;
Aly Abeid;Lamine Yamal;1;4;2025;;
Lindsay Rose;Nuno Mendes;1;4;2025;;
Edson Omar Alvarez Velazquez;Kylian Mbappé;1;4;2025;;
Rata Vadim;Vitinha;1;4;2025;;
Tsendayush Khurelbaatar;Harry Kane;1;4;2025;;
Stevan Jovetic;Ousmane Dembélé;1;4;2025;;
Brandon Comley;Raphinha;1;4;2025;;
Achraf Hakimi;Raphinha;1;4;2025;;
Elias Pelembe;Vitinha;1;4;2025;;
Mg Mg Lwin;Lamine Yamal;1;4;2025;;
Riaan Hanamub;Achraf Hakimi;1;4;2025;;
Kiran Chemjong;Lamine Yamal;1;4;2025;;
Virgil Van Dijk;Nuno Mendes;1;4;2025;;
Morgan Mathelon;Achraf Hakimi;1;4;2025;;
Chris Wood;Mohamed Salah;1;4;2025;;
Juan Barrera;Lamine Yamal;1;4;2025;;
